번호,년도,분기,수출선행지수,무선통신선행지수,반도체선행지수,평판디스플레이선행지수,가전제품선행지수,자동차선행지수,자동차부품선행지수,컴퓨터선행지수,일반기계선행지수,철강제품선행지수,석유화학선행지수,석유제품선행지수,섬유류선행지수,식품류선행지수,기타선행지수,유럽선행지수,북미선행지수,아대양주선행지수,일본선행지수,중국선행지수,중남미선행지수,중동아선행지수,CIS선행지수,가격경쟁력선행지수,품질경쟁력선행지수,수입국경기선행지수
1,2019,2,53.62,61.93,41.06,53.15,76.15,51.39,55.7,57.12,47.88,65.49,45.81,40.03,46.57,58.87,51.19,57.24,53.88,58.96,41.23,54.07,36.52,36.89,73.1,48.28,55.46,48.35
2,2019,1,52.14,76.69,46.26,58.33,40.91,29.39,52.81,39.94,65.64,47.26,55.67,38.91,58.26,61.84,60.06,57.04,61.06,54.05,49.43,49.21,50.88,35.64,54.83,48.3,55,52.2
3,2018,4,57.56,56.93,65.89,52.79,80.39,48.94,49.24,43.97,54.46,49.7,39.05,46.02,52.96,65.42,69.71,60.21,64.07,57.66,51.35,59.27,49.95,37.47,61.02,47.2,53.3,52.6
4,2018,3,59.56,45.68,75.73,69.91,60.75,47.77,63.6,39.94,57.21,44.16,52.39,31.5,60.49,68.29,64.88,68.01,53.34,62.49,60.23,58.94,59.61,44.96,81.29,47.8,55.4,59.5
5,2018,2,59.31,67.72,50.09,71.55,79.82,30.01,67.84,47.93,52.73,58.49,50.66,38.33,54.8,58.5,70.52,71.22,64.86,50.14,43.45,59.91,79.49,57.56,59.3,47.9,53.7,61.4
6,2018,1,58.49,46.01,66.9,65.41,58.62,41.8,44.18,73.26,32.25,58.93,27.96,68.75,51.5,59.75,69.13,57.58,58.1,52.31,58.74,61.61,74.72,50.46,69.45,47.6,55.7,56.2
7,2017,4,59.73,74.15,67.38,76.62,67.24,54.49,62.93,60.27,53.01,48.8,68.27,45.72,65.12,52.08,60.59,48.1,64.97,66.25,50.08,59.48,34.31,64.05,64.01,45.8,53.8,52.5
8,2017,3,63.89,77.28,74.66,58.02,62.41,50.1,61.36,50.27,66.59,59.76,65.82,82.58,51.38,63.63,43.21,62.94,69.89,74.51,35.54,60.14,50.39,60.29,60.69,47.3,54.4,52.7
9,2017,2,55.29,66.42,73.24,46.51,67.68,58.21,44.71,44.56,58.71,71.02,42.33,43.14,44.39,56.34,51.33,54.32,67.11,56.69,48.57,51.99,55.45,56.04,34.47,44.8,51.7,49.6
10,2017,1,54.75,61.04,42.6,52.68,51.13,42.71,67.07,51.73,52.47,56.84,50.52,59.46,54.83,51.39,69.8,60.15,58.01,52.27,33.31,60.38,44.5,40.8,68.17,46.1,54.1,46.7
11,2016,4,51.54,63.99,68.51,49.96,36.83,53.04,48.79,36.97,51.47,40.8,51.37,60.03,57.81,42.98,57.89,50.93,71.36,49.74,33.06,54.84,48.8,21.73,65.69,47.9,56.3,48.2
12,2016,3,59.44,76.37,59.96,57.54,56.73,57.7,54.51,29.01,47.39,47.58,58.2,41.88,51.69,53.56,50.11,61.37,61.56,64,51.82,64.41,44.78,33.85,59.82,48.4,56.2,44.8
13,2016,2,48.79,54.77,36.91,52.28,70.84,60.89,46.67,44.71,42.17,50.18,50.79,31.23,54.79,50.65,51.83,59.17,54.45,50.14,46.66,44.88,50.57,39.87,28.07,50.7,56,43.9
14,2016,1,46.47,39.45,53.77,42.38,45.85,50.08,53.86,51.51,52.02,32.96,54.2,38.43,73.41,58.96,45.26,43.73,47.5,56.14,41.66,46.04,12.45,51.64,45.11,48,54.3,47.3
15,2015,4,46.3,59.29,51.75,56.49,42.46,44.64,44.18,64.47,41.36,42.72,47.37,38.87,57.42,55.93,41.58,67.94,55.36,46.35,53.5,43.07,18.5,37.23,20.23,47.5,54.8,45.1
16,2015,3,50.84,41.32,53.02,49.67,39.66,51.11,52.31,67.78,58.52,56.22,55.6,67.32,41.76,56.87,46.04,63.38,64.28,47.22,30.58,52.01,37.85,42.58,16.74,47.2,55.1,51.1
17,2015,2,50.09,45.92,37.21,53.24,58.02,70.2,57.58,71.32,38.06,44.22,64.3,53.21,26.52,71.5,34.69,52.78,53.49,47.47,48.83,47.08,41.59,69.76,14.83,49.9,56.5,50.2
18,2015,1,55.99,48.26,62.69,46.37,62.44,63.72,70.34,66.86,52.59,33.46,46.32,56.72,52.82,57.49,54.49,62.1,61.87,50.34,58.52,60.83,43.97,46.47,40.92,49.6,55.9,53.5
19,2014,4,59.54,56.68,61.04,72.34,59.57,78.09,62.55,63.96,53.47,37.57,56.96,66.57,59.19,65.2,66.6,53.1,69.78,51.37,63.59,60.34,56.46,68.32,56.48,46,56.1,52.8
20,2014,3,59.41,57.27,60.6,63.49,66.97,56.09,61.22,33.21,54.57,62.9,58.98,68.72,46.31,52.18,65.68,44.45,64.72,65.06,43.09,58.91,65.97,70.53,37.77,45.1,56.1,53.7
